Reg_no,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9,Subject10,Subject11,Subject12
NCE16CS053,MA101(F),PH100(F),CY100(F),BE100(F),EE100(F),EC100(F),MA102(F)
NCE16CS054,PH100(F)
NCE16CS055,MA101(Absent),PH100(F),BE100(F),BE10105(Absent),EE100(Absent),EC100(C),CS100(Absent)
NCE16CS056,CY100(C),BE10105(C),EC100(F),CS100(P)
NCE16CS057,BE100(B),BE10105(B),MA102(B)
NCE16CS061,EE100(C),CS100(B+)
NCE16CS064,BE110(B+),BE10105(B+),MA102(C),CS100(C)
NCE16CS066,CS100(C)
NCE16CS067,CS100(B)
NCE16CS068,BE100(F),BE10105(C),CS100(F)
NCE16CS069,EE100(F),MA102(C),CS100(F)
NCE16CS070,MA101(F),PH100(F),CY100(F),BE100(F),BE10105(F),EE100(F),EC100(F),CS100(F)
NCE16CS071,BE100(F),BE10105(C),MA102(B),CS100(C)
NCE16CS072,PH100(F),CY100(F),BE100(F),BE10105(F),EE100(Absent),EC100(F),CS100(F)
NCE16CS073,MA101(F),PH100(F),CY100(Absent),BE100(F),BE10105(F),EE100(Absent),EC100(F),CS100(F)
NCE16CS075,BE100(F),BE110(C),BE10105(F),MA102(F),CS100(F)
NCE16CS076,PH100(F),EE100(F),CS100(C)
NCE16CS077,MA101(F),PH100(F),CY100(F),BE10105(F),EE100(F),EC100(F),MA102(F),CS100(F)
NCE16CS079,CY100(C)
NCE16CS081,PH100(F),BE100(F),EE100(F),MA102(F),CS100(F)
NCE16CS085,EE100(C),CS100(B)
NCE16CS087,CY100(C),EE100(P),MA102(B)
NCE16CS090,MA101(F),PH100(F),BE10105(F),EE100(F),MA102(F),CS100(F)
NCE16CS091,CS100(F)
NCE16CS092,CY100(F),BE110(B),CS100(F)
NCE16CS093,CS100(F)
NCE16CS095,PH100(F),CY100(F),BE100(F),BE110(C),BE10105(F),EE100(F),EC100(F),MA102(F),CS100(F)
NCE16CS096,EE100(F)
NCE16CS099,MA101(F),PH100(F),BE100(F),BE110(B),EE100(F),CS100(F)
NCE16CS101,EE100(C),CS100(C)
NCE16CS102,CS100(C)
NCE16CS105,PH100(F),EE100(C)
NCE16CS106,PH100(F),CY100(F),BE100(F),BE110(B),BE10105(P),EE100(F),MA102(F),BE102(B+),CS100(F)
NCE16CS110,EE100(C)
NCE16CS111,PH100(C),BE110(C),BE10105(F),EE100(C),CS100(F)
NCE16CS112,MA101(F),PH100(F),CY100(F),BE100(F),EE100(C),EC100(F),MA102(F),CS100(C)
NCE16CS114,CS100(B+)
NCE16CS115,MA101(F),PH100(F),BE100(F),BE10105(F),EE100(F),EC100(F)
NCE16CS116,BE100(F),BE110(C),BE10105(F),EE100(F),MA102(F),CS100(F)
NCE16CS117,BE110(A)
NCE16CS118,PH100(F),CY100(F),BE100(B),EE100(C),EC100(F),MA102(F),CS100(F)
NCE16CS119,BE10105(C),EE100(C)
NCE16CS120,CY100(F),BE110(F),BE10105(F),EE100(F),EC100(F),MA102(F),BE102(B),CS100(F)
NCE16ME002,PH100(Absent),MA102(Absent)
NCE16ME003,BE100(F),EE100(C),EC100(Absent)
NCE16ME004,MA101(F),BE110(Absent),BE10102(F),EE100(F),EC100(F)
NCE16ME005,MA101(F),PH100(F),BE100(F),BE110(F),BE10102(F),EE100(C),MA102(F)
NCE16ME007,PH100(F),BE10102(B),EE100(B+),EC100(F)
NCE16ME008,PH100(F),BE100(F),BE10102(C),EE100(B),EC100(F)
NCE16ME011,MA101(F),PH100(F),BE100(F),EE100(C),EC100(F),MA102(F)
NCE16ME014,PH100(F),MA102(B)
NCE16ME015,BE10102(F),EC100(F),MA102(B)
NCE16ME016,MA101(F),PH100(F),CY100(C),BE100(F),BE10102(C),CE100(C),EE100(F),EC100(F),MA102(F)
NCE16ME018,MA101(Absent),PH100(F),CY100(P),BE100(F),BE110(F),BE10102(P),CE100(C),EE100(F),EC100(F),MA102(Absent)
NCE16ME021,BE110(B),EE100(C),EC100(F),MA102(F)
NCE16ME022,MA102(B)
NCE16ME023,PH100(F),BE100(F),EE100(P)
NCE16ME024,MA101(F),CY100(F),BE100(F),BE10102(B+),CE100(B+)
NCE16ME026,PH100(F),BE10102(B)
NCE16ME027,MA101(F),PH100(F),CY100(F),BE100(F),BE110(B),BE10102(F),EE100(F),EC100(F),MA102(F)
NCE16ME028,PH100(F),CY100(F),BE100(F),BE110(F),BE10102(B),EE100(C),EC100(F),MA102(F)
NCE16ME029,PH100(F),BE10102(F),EE100(Absent)
NCE16ME030,MA101(F),PH100(F),BE100(F),BE10102(B),EE100(C),MA102(F)
NCE16ME032,PH100(F),EC100(F),MA102(C)
NCE16ME033,EC100(B)
NCE16ME034,PH100(F),CY100(F),BE10102(F),BE103(B),CE100(F),EE100(F),EC100(F)
NCE16ME035,MA101(F),PH100(F),BE100(F),EE100(F),EC100(F)
NCE16ME039,BE100(F),EE100(F),EC100(C)
NCE16ME041,PH100(F),CY100(F),BE100(F),BE110(F),BE10102(F),BE103(F),EE100(F),EC100(F),MA102(F),BE102(F)
NCE16ME043,BE100(C)
NCE16ME044,MA102(B)
NCE16ME051,PH100(C),BE100(F),BE10102(C),EE100(P)
NCE16ME052,MA102(A)
NCE16ME053,PH100(F),BE100(B),BE10102(B),EE100(C),MA102(B)
NCE16ME055,MA102(C)
NCE16ME056,BE100(B),EE100(B),EC100(F),MA102(B+)
NCE16ME057,BE100(B),BE10102(C),CE100(B),EE100(B)
NCE16ME059,BE10102(B+)
NCE16ME061,CY100(F),BE100(F),BE110(B),CE100(P),EE100(Absent),EC100(F)
NCE16ME063,PH100(C)
NCE16ME064,MA101(F),PH100(F),CY100(F),BE100(F),BE110(B),BE10102(F),CE100(C),EE100(F),EC100(F),MA102(F),BE102(B)
NCE16ME066,BE110(C)
NCE16ME068,MA101(F),CY100(F),BE100(F),BE10102(C),EE100(F)
NCE16ME069,BE110(C)
NCE16ME071,PH100(P),BE100(C),BE10102(B),EC100(F),MA102(B)
NCE16ME072,MA101(F),CY100(C),BE100(F),BE110(C),BE10102(C),EE100(F),EC100(F),MA102(F)
NCE16ME076,MA101(F),PH100(F),CY100(C),BE100(F),BE110(F),BE10102(C),CE100(C),EE100(C),MA102(C)
NCE16ME077,CY100(F),BE100(F),BE110(F),BE10102(F)
NCE16ME078,BE100(F),BE110(F),BE10102(C)
NCE16ME080,MA101(F),PH100(F),CY100(F),BE100(F),BE110(F),BE10102(C),EE100(F),EC100(F),MA102(F)
NCE16ME083,BE100(F)
NCE16ME084,MA101(F),BE100(F),BE110(B+),BE10102(C),EE100(F),EC100(F),BE102(B)
NCE16ME085,PH100(F),CY100(C),BE100(F),BE110(B),BE10102(F),CE100(C),EE100(F),EC100(F),MA102(F)
NCE16ME086,BE100(B)
NCE16ME089,PH100(F),CY100(F),BE100(F),BE110(F),CE100(F),EE100(F),EC100(F),MA102(F),BE102(B)
NCE16ME090,PH100(C),BE100(F),BE110(F),MA102(F)
NCE16ME091,BE100(C)
NCE16ME092,BE100(F),BE110(F)
NCE16ME095,PH100(F),CY100(F),BE100(F),BE110(B),EE100(F),EC100(F),MA102(F)
NCE16ME097,MA101(F),BE100(F),BE10102(F),EC100(F)
NCE16ME098,BE100(C),BE110(B+)
NCE16ME099,BE110(B),BE10102(C),CE100(F),EC100(C)
NCE16ME100,MA102(B)
NCE16ME101,BE100(F),BE110(F),EE100(F),EC100(F)
NCE16ME103,BE100(F),BE110(B)
NCE16ME104,BE100(C),BE110(F),EC100(F)
NCE16ME105,BE100(F),BE110(B+)
NCE16ME106,BE100(F),BE110(F),BE10102(F),EE100(F),EC100(F)
NCE16ME108,CE100(C),EC100(F)
NCE16ME109,MA101(F),CY100(F),BE100(F),BE110(C),EE100(F)
NCE16ME111,MA101(F),CY100(C),BE100(C),BE110(B+),EE100(C),EC100(C)
NCE16ME115,BE100(F),BE110(B+)
NCE16ME116,BE100(F)
NCE16ME117,MA101(F),PH100(F),BE10102(C),EE100(C)
NCE16ME118,BE100(F),BE110(B+),EE100(C)
NCE16ME119,MA101(F),PH100(F),BE100(F),BE110(B),EE100(P)
NCE16EC001,BE10104(F),ME100(F)
NCE16EC003,CY100(C),BE100(F),BE10104(F),ME100(F),MA102(C)
NCE16EC004,BE100(C),BE10104(C),ME100(F)
NCE16EC007,CY100(F),BE10104(F),CE100(C),ME100(F)
NCE16EC008,BE102(B+)
NCE16EC009,BE10104(C)
NCE16EC011,PH100(F),CY100(F),BE100(F),BE10104(F),ME100(F),MA102(C)
NCE16EC015,MA101(F),CY100(F),BE100(F),BE10104(F),CE100(C),ME100(F),MA102(C)
NCE16EC017,BE100(B),BE10104(C)
NCE16EC018,BE10104(F)
NCE16EC019,PH100(F),CY100(F),BE100(F),BE110(F),BE10104(F),CE100(C),ME100(F),EE100(C),MA102(C)
NCE16EC020,MA101(F),PH100(F),BE100(F),BE10104(F),ME100(F),EE100(C)
NCE16EC021,BE10104(F),EE100(C)
NCE16EC022,BE10104(C),CE100(B+)
NCE16EC024,MA101(F),PH100(F),CY100(F),BE100(F),BE110(F),BE10104(F),ME100(F),EE100(F),MA102(F)
NCE16EC025,PH100(Absent),CY100(Absent),BE10104(F),ME100(Absent)
NCE16EC026,CY100(C),BE100(F)
NCE16EC028,MA101(F),CY100(F),BE100(F),BE10104(F),CE100(F),ME100(F),EE100(F),MA102(C)
NCE16EC031,BE110(C),BE10104(F),ME100(F)
NCE16EC032,CY100(C),BE10104(F),MA102(B)
NCE16EC033,CY100(F),BE100(F),BE110(F),BE10104(F),ME100(F),MA102(P)
NCE16EC034,MA102(B+)
NCE16EC036,CY100(C),BE10104(C)
NCE16EC038,CY100(F),ME100(F)
NCE16EC039,BE100(F),ME100(F)
NCE16EC040,CY100(F),BE10104(F),ME100(F)
NCE16EC042,BE10104(F)
NCE16EC044,BE10104(C)
NCE16EC045,CY100(F),BE100(C),ME100(F)
NCE16EC046,MA101(F),CY100(C),BE100(F),BE10104(F),MA102(B)
NCE16EC047,BE110(B),MA102(B+)
NCE16EC051,MA101(F),PH100(F),CY100(F),BE100(F),BE10104(F),CE100(C),ME100(F),EE100(F),MA102(F)
